parameter	R2	pvalue
BarcodeSequence	1	1
status1	0.0281948096951862	0.903096903096903
status2	0.0339949732171925	0.945054945054945
status3	0.0338334008148642	0.955044955044955
group1	0.0636883184415356	0.124875124875125
group2	0.0628140087534097	0.186813186813187
indivID	0.0364670359491244	0.011988011988012
lang1	0.030957275217538	0.296703296703297
lang3	0.0285974522779286	0.839160839160839
healthy1	0.0333205186405897	0.376623376623377
night2	0.0351050971329165	0.542457542457542
grp3	0.0303826875548753	0.42957042957043
ghn1	0.0303165734323255	0.418581418581419
test2	0.0284422054283349	0.85014985014985
