#SampleID	concentration_1	concentration_2	status
N0433	0.195	0.46173	no
N0539	2.3	0.46173	yes
n0551	0.195	0.46173	yes
N1304	0.195	0.46173	no
n0542	0.195	0.46173	no
n0545	1.6	0.46173	no
N1461	5.4	0.46173	yes
n1315	0.91	0.46173	no
N1466	8.7	0.46173	yes
N1332	0.44	0.46173	no
N1469	9.2	0.46173	no
n1335	0.195	0.46173	no
N1475	3.9	0.46173	yes
N1484	4.9	0.46173	yes
o0004	0.195	0.46173	no
N1487	1.1	0.52278	yes
n1490	0.69	0.46173	no
O0010	9	0.46173	yes
N1496	7.1	0.46173	no
O0019	113	0.46173	yes
O0211	1.1	0.46173	yes
O0024	8.7	0.46173	yes
O0027	34	0.46173	no
o0214	0.195	0.46173	yes
O0217	0.71	0.46173	no
O0032	21	0.46173	yes
n1499	1.4	0.46173	no
o0035	6.4	0.46173	no
O0038	1.7	0.46173	yes
O0046	0.79	0.46173	no
O0226	47	0.46173	no
O0593	0.195	0.46173	yes
o0232	2.2	0.46173	no
O0596	0.195	0.46173	yes
O0356	0.195	0.46173	yes
O0238	3.2	0.46173	no
O0359	0.195	0.46173	yes
o0362	0.195	0.46173	yes
O0367	0.195	0.46173	no
O0370	0.195	0.46173	yes
o0373	5.2	0.46173	no
O0599	0.195	0.46173	no
O0379	2.1	0.46173	no
O0382	6.4	0.46173	no
O0602	4.6	0.46173	yes
O0605	8.8	0.46173	no
O0616	0.195	0.46173	yes
O0621	0.195	0.46173	no
O0624	61	0.69966	no
O0627	4.7	0.46173	no
O0633	0.195	0.46173	no
o0639	1	0.46173	yes
O0947	0.195	0.46173	no
O0951	1.3	0.46173	yes
O1032	1.1	0.46173	yes
O0964	0.195	0.46173	yes
O1040	16	0.46173	no
P0511	2.8	0.46173	no
O1046	0.195	0.46173	yes
o1166	1.8	0.46173	no
O1168	3.3	0.5373	yes
P0514	4.7	0.46173	no
o1049	11	0.46173	no
O1171	0.195	0.46173	no
O1174	3.2	0.46173	yes
O1177	0.195	0.46173	no
O1180	10	0.46173	yes
O1475	0.195	0.46173	no
O1478	0.195	0.72276	yes
p0098	79	0.46173	yes
P0101	15	0.46173	no
P0105	3.7	0.46173	yes
O1489	6.8	0.46173	yes
O1497	0.45	0.46173	yes
P0114	0.195	0.46173	no
P0517	0.195	0.46173	no
P0120	69	0.7353	no
P0129	2.9	0.46173	yes
P0889	0.195	0.46173	no
P0523	3.7	0.46173	no
N0722	0.195	0.46173	yes
n0889	1.5	0.46173	no
N1208	3.1	2.48958	no
N1358	0.195	0.46173	no
N1539	0.195	0.46173	no
N1542	0.195	0.46173	no
N1545	0.195	0.46173	no
N1548	0.195	0.46173	no
N1593	0.72	0.46173	no
N1596	6.8	0.46173	yes
O0412	1.3	0.93792	yes
O0049	21	0.46173	no
O0171	0.195	0.46173	no
O0415	0.195	0.46173	yes
O0241	0.195	0.46173	yes
o0255	0.195	0.46173	yes
O0177	0.195	0.46173	yes
O1258	0.195	0.46173	no
O0421	0.195	0.46173	yes
O0654	0.195	0.46173	no
O1195	0.195	0.46173	yes
O0996	0.195	0.46173	yes
o0516	0.195	0.46173	no
P0384	0.195	0.49044	no
O1198	0.195	0.46173	no
O0657	3.2	0.46173	yes
o0660	0.195	0.46173	no
O1002	15	1.89558	yes
O0895	0.195	0.46173	yes
O1008	0.195	0.46173	no
P0779	0.195	0.46173	yes
O0898	0.195	0.46173	yes
O0901	0.195	0.46173	no
O0903	19	0.46173	no
O1614	6.5	0.46173	yes
O1020	0.39	0.8343	no
O1204	0.195	0.59208	no
O1023	0.195	0.46173	no
O1210	1.8	0.46173	no
O1216	0.195	0.50628	no
O1219	0.195	0.46173	no
O1264	0.195	0.85212	no
O1405	0.195	0.46173	no
O1408	0.195	0.46173	no
P0782	0.195	1.32402	yes
o1623	9.5	0.46173	yes
P0052	7.3	0.46173	yes
O1634	0.195	0.46173	no
P0055	0.195	0.53334	no
P1731	0.195	0.46173	no
P0409	0.195	0.46668	yes
P0412	0.195	0.48714	no
p0415	0.195	0.48186	no
p0794	0.195	0.64158	yes
P0797	0.195	0.55446	yes
P0418	8.1	0.52872	no
P0929	0.195	0.46173	no
N0703	4.1	0.46173	yes
N0850	1.5	0.46173	yes
N0900	0.195	0.46173	no
N0950	0.195	0.46173	no
N0967	10	0.46173	yes
N0953	25	0.46173	yes
N1191	0.195	0.46173	yes
N1418	0.5	0.46173	yes
N1555	33	0.46173	yes
O0131	9.4	0.46173	yes
O0143	1.6	0.46173	yes
O0146	0.195	0.46173	no
O0134	20	0.46173	no
o0427	2	0.46173	yes
O0546	0.195	0.46173	no
O0669	19	0.46173	no
O0552	4.4	0.46173	no
O0816	0.26	0.46173	no
O0886	8.7	0.46173	no
O1132	23	0.46173	no
O1135	10	0.46173	yes
O1348	9.1	0.46173	no
O1239	34	0.46173	yes
O1367	5.2	0.46173	no
O1242	5.2	0.46173	yes
O1526	19	0.46173	yes
O1653	10	0.46173	no
P0527	32	0.46173	yes
p0434	13	0.46173	yes
P0815	7.5	0.46173	yes
P0818	0.195	0.46173	yes
P0374	9.3	0.46173	yes
p1232	2.8	0.46173	no
P1828	1.5	0.46173	no
P0484	30	0.46173	yes
N0799	0.195	2.05002	no
N0477	0.195	0.46173	yes
N0805	0.195	0.46173	no
N0873	13	0.46173	yes
N0879	0.195	0.46173	no
N1131	0.195	0.46173	no
n0939	0.195	0.46173	no
N1286	0.195	0.46173	no
N1289	0.61	0.46173	yes
N1409	1.2	0.46173	yes
N1292	0.22	1.42698	no
N1140	0.195	0.46173	yes
O0196	0.195	1.59	no
N1506	2.7	0.46173	no
N1613	0.68	0.46173	yes
n1619	0.195	0.46173	yes
N1622	1.2	0.46173	no
N1625	0.195	0.46173	yes
o0119	0.6	0.68118	yes
N1628	1.8	0.46173	no
O0125	2	0.46173	no
O0159	0.195	0.46173	yes
O0162	0.195	0.46173	no
O0202	0.195	0.46173	no
O0478	0.195	0.50892	yes
o0403	0.195	0.46173	no
O0340	9	0.46173	no
O0343	12	1.11414	yes
O0484	18	0.46173	no
O0346	0.195	0.46173	yes
O0349	0.195	0.46173	yes
O0529	0.195	0.46173	no
O0577	16	0.46173	no
O0490	0.195	0.46173	yes
O0532	3.4	0.46173	no
O0538	0.195	0.46173	yes
o0580	0.195	0.46173	yes
O0586	3.6	0.54192	no
O1538	0.195	0.67986	no
O1138	7.2	0.46173	no
P0292	0.195	0.46173	no
O0781	2.1	0.46173	yes
O0920	14	0.46173	no
O0923	0.28	0.46173	yes
O0929	9.2	0.46173	yes
O0932	0.31	0.46173	yes
P0295	1.4	0.46173	yes
O0935	3.1	0.62376	no
O1141	1.2	0.46173	no
O1144	0.195	0.46173	yes
o1303	0.195	0.51156	no
O1153	2.4	0.46173	no
O1306	1.2	0.46173	no
O1309	2.4	0.73596	no
O1541	8.1	0.46173	yes
O1544	9	0.7122	no
O1321	4.3	0.46173	yes
p1400	0.195	0.46173	yes
O1547	0.195	0.501	yes
P0298	0.195	0.46173	no
P0019	0.195	0.46173	yes
P0022	0.195	0.49374	no
P0025	75	0.52806	no
O1553	2	0.46173	no
P0301	131	0.46173	yes
P0304	0.195	0.46173	yes
p0679	56	0.46173	yes
P0043	0.195	0.4878	yes
P0313	1.4	0.46173	no
P2400	0.195	0.46173	yes
P0685	0.195	0.87852	yes
P0694	0.195	0.46173	yes
P0953	0.195	0.46173	yes
P0959	2.8	0.78282	yes
P1409	0.195	0.46173	yes
p1412	6.2	0.46173	no
