# Constructed from biom file																																			
#OTU ID	B46	B23	B74	B67	B26	B07	B15	B39	B35	B70	B60	B40	B36	B47	B45	B59	B02	B06	B68	B50	B32	B77	B76	B106	B79	B99	B94	B101	B86	B44	B88	B20	B27	B89	taxonomy
OTU_1	2	15	3	45	19	5	12	4	26	23	9	31	9	254	11	5	5	5	3	276	6	16	21	99	5	3	8	5	9	6	18	11	7	4	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Incertae sedis; g__Candida; s__Candida albicans
OTU_11462	0	1	1	0	7	0	0	0	1	1	1	2	1	6	0	0	1	0	0	2	3	0	6	0	3	1	1	0	1	2	2	1	2	1	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Incertae sedis; g__Candida; s__Candida albicans
OTU_2	7	102	2	23	48	1193	939	24	397	33	496	871	332	3959	647	43	4	134	19	70	212	20	591	26	257	15	47	132	24	873	36	78	420	81	k__BLAST; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Metschnikowiaceae; g__Clavispora; s__Clavispora lusitaniae
OTU_176	3	0	0	6	0	1	2	0	68	10	0	9	0	3	42	1	0	0	0	18	8	28	2	0	4	6	0	5	0	2	12	2	2	20	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Trichosporonales; f__Trichosporonaceae; g__Trichosporon
OTU_3	19	138	9	53	73	168	6579	17	78	17	35	294	61	547	549	9	257	59	26	408	15	82	546	40	355	4	203	201	21	477	17	40	95	206	k__BLAST; p_unassigned(Candida parapsilosis)
OTU_11	17	15	40	5	175	8	66	18	14	32	7	2655	9	25	86	9	27	13	12	43	4	32	442	104	699	14	3	50	13	92	4	88	49	114	k__Fungi; p__Basidiomycota; c__Microbotryomycetes; o__Sporidiobolales; f__Incertae sedis; g__Rhodotorula
OTU_341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__unidentified; f__unidentified; g__unidentified; s__Dothideomycetes sp
OTU_5	45	1	64	1	2	0	468	47	11	49	0	95	31	76	3	0	0	63	0	29	61	4	550	345	138	2	1	16	2	42	4	14	18	4	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Incertae sedis; g__Candida; s__Candida tropicalis
OTU_949	1	1	0	0	0	4	20	0	0	0	0	33	2	1	2	0	0	0	0	26	1	0	3	1	40	1	1	15	0	2	0	0	2	1	k__BLAST; p_unassigned(Candida metapsilosis)
OTU_71	1	3	55	10	2	6	0	5	34	277	15	32	1	3	3	0	0	2	12	87	10	5	2	48	20	0	0	2	2	2	4	30	12	0	k__Fungi; p__Basidiomycota; c__Incertae sedis; o__Malasseziales; f__Malasseziaceae; g__Malassezia; s__Malassezia sp
